window_id,composition,semantic_attack_family,sender,is_kinematic_attacker,is_semantic_attacker,decision,contributors,b3_label,mbd_evidence
mix-00000,semantic_only,authority_override,6147,False,True,REJECT,"B1,B2,CP,B3",MALICIOUS,No history yet; baseline assumed valid.
mix-00000,semantic_only,authority_override,6117,False,False,ACCEPT,"B1,B2,CP,B3",BENIGN,No history yet; baseline assumed valid.
mix-00000,semantic_only,authority_override,6141,False,False,ACCEPT,"B1,B2,CP,B3",BENIGN,No history yet; baseline assumed valid.
mix-00000,semantic_only,authority_override,6147,False,True,REJECT,"B1,B2,CP,B3",MALICIOUS,
mix-00000,semantic_only,authority_override,6117,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6141,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6147,False,True,REJECT,"B1,B2,CP,B3",MALICIOUS,
mix-00000,semantic_only,authority_override,6117,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6141,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6147,False,True,REJECT,"B1,B2,CP,B3",MALICIOUS,
mix-00000,semantic_only,authority_override,6117,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6141,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6147,False,True,REJECT,"B1,B2,CP,B3",MALICIOUS,
mix-00000,semantic_only,authority_override,6117,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6141,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6147,False,True,REJECT,"B1,B2,CP,B3",MALICIOUS,
mix-00000,semantic_only,authority_override,6117,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6141,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6147,False,True,REJECT,"B1,B2,CP,B3",MALICIOUS,
mix-00000,semantic_only,authority_override,6117,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6141,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6147,False,True,REJECT,"B1,B2,CP,B3",MALICIOUS,
mix-00000,semantic_only,authority_override,6117,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
mix-00000,semantic_only,authority_override,6141,False,False,CAUTION,"B1,B2,CP,B3",BENIGN,
